Date,PM2.5 (μg/m3),O3 (ppm),NO2 (ppm),CO (ppm),SO2 (ppm),Temperature (°C),Precipitation (mm),Wind speed (m/s),Wind direction (°),RH (%),Solar irradiation (MJ/m2),Traffic volume (vehicles),
20240903 ,16,5,0.0318,0.0189,0.41,0.0028,0,2.9,70,54.5,20.85,"53,370 ",
20240904 ,26,11,0.0449,0.02,0.45,0.0031,0,2.2,50,61.4,22.99,"55,646 ",
20240905 ,25,12,0.0358,0.0183,0.43,0.0032,6.9,2.4,230,79.1,6.91,"54,890 ",
20240906 ,16,7,0.0185,0.0199,0.49,0.0028,0.7,2.6,70,79.3,4.41,"55,539 ",
20240907 ,24,14,0.045,0.0178,0.45,0.0028,0,1.9,50,68.9,18.81,"51,419 ",
20240908 ,31,20,0.0554,0.0138,0.48,0.0028,0,1.6,50,69.6,20.01,"45,322 ",
20240909 ,28,18,0.0445,0.0187,0.5,0.003,0,1.9,50,69,16.38,"53,514 ",
20240910 ,28,20,0.0445,0.0194,0.49,0.0032,0,1.8,50,67.3,17.2,"54,090 ",
20240911 ,32,23,0.049,0.0222,0.49,0.0033,0.4,1.8,50,71.5,12.49,"54,643 ",
20240912 ,11,6,0.0122,0.0158,0.43,0.0029,32.7,2.1,50,91.5,3.78,"54,617 ",
20240913 ,14,6,0.0081,0.0158,0.44,0.0032,7.6,2.2,50,91.4,4.86,"38,056 ",
20240914 ,13,6,0.0215,0.0122,0.32,0.003,0,1.7,270,80.3,14.61,"46,861 ",
20240915 ,12,6,0.0195,0.0094,0.34,0.0028,0,2.8,70,73.6,18.89,"42,911 ",
20240916 ,8,4,0.0281,0.0115,0.34,0.0025,9.5,2.8,70,74,17.09,"38,393 ",
20240917 ,13,6,0.02,0.0106,0.33,0.0028,0,1.7,50,77,14.62,"41,108 ",
20240918 ,17,10,0.0211,0.0093,0.32,0.0029,0.7,1.6,290,76.8,17.53,"36,758 ",
20240919 ,22,15,0.0356,0.0181,0.41,0.0031,0,1.7,50,77.4,11.47,"50,631 ",
20240920 ,16,9,0.0131,0.0148,0.41,0.0032,54.5,2.4,50,89.8,3.58,"52,167 ",
20240921 ,7,3,0.0285,0.0107,0.32,0.0026,27,4.3,50,82.3,6.31,"48,755 ",
20240922 ,6,3,0.0241,0.0079,0.3,0.0023,0,2.7,50,67.4,19.34,"45,602 ",
20240923 ,11,3,0.0272,0.014,0.35,0.0024,0,3.1,50,58.3,22.31,"53,704 ",
20240924 ,14,5,0.0261,0.02,0.41,0.0024,0,2.2,50,57.9,22.03,"54,847 ",
20240925 ,18,8,0.0259,0.0208,0.44,0.0028,0,1.7,70,65.6,13.51,"52,883 ",
20240926 ,19,10,0.0339,0.0152,0.39,0.0026,1.2,1.6,270,75.1,14.01,"54,300 ",
20240927 ,16,9,0.0267,0.0154,0.4,0.0025,0,2.4,50,72.8,16.45,"55,152 ",
20240928 ,14,5,0.0323,0.0152,0.37,0.0024,0,3.4,50,59.3,18.07,"47,090 ",
20240929 ,11,4,0.0332,0.0124,0.35,0.0023,0,2.7,50,61.5,18.06,"40,790 ",
20240930 ,16,6,0.0324,0.0187,0.42,0.0025,0,2.1,50,63,16.77,"53,837 ",
20241001 ,6,0.0299,0.0124,0.35,0.0024,18.3,2.5,2.5,270,67.5,7.73,"36,548 ",
20241002 ,5,0.031,0.0081,0.31,0.0021,14.9,0,2.5,290,48.8,20.66,"53,923 ",
20241003 ,6,0.0221,0.0151,0.37,0.0023,16.4,0,1.9,50,59,15.9,"45,214 ",
20241004 ,7,0.0205,0.0158,0.37,0.0026,17.6,0,1.8,70,60,20.32,"53,568 ",
20241005 ,12,0.0241,0.0214,0.44,0.0027,17.5,0,1.6,20,60.4,17.31,"50,396 ",
20241006 ,11,0.0145,0.0182,0.43,0.0027,15.4,0,1.4,50,73.5,3.65,"43,138 ",
20241007 ,19,0.0241,0.0172,0.48,0.0027,16.9,0,1.3,270,73.9,9.33,"53,081 ",
20241008 ,19,0.0184,0.0184,0.53,0.0028,17.7,0,1.8,20,73.9,14.54,"55,502 ",
20241009 ,6,0.0244,0.0168,0.4,0.0026,18.8,0,2.3,50,64.1,16.61,"46,498 ",
20241010 ,9,0.0241,0.0205,0.42,0.0026,18.8,0,1.9,50,66.3,13.91,"54,455 ",
20241011 ,20,0.0343,0.0217,0.49,0.0029,18.6,0,1.8,20,68.8,16.05,"44,739 ",
20241012 ,19,0.0296,0.0223,0.5,0.0028,18.3,0,1.5,20,60.6,18.19,"51,424 ",
20241013 ,15,0.0214,0.0199,0.49,0.0028,18.3,0,2,50,67,11.43,"46,458 ",
20241014 ,10,0.0139,0.027,0.51,0.003,19.3,0,1.9,70,70.3,4.71,"53,354 ",
20241015 ,11,0.0139,0.0206,0.44,0.003,19.2,0.5,1.8,50,85,4.59,"53,220 ",
20241016 ,19,0.022,0.0207,0.53,0.003,18.2,0,1.5,50,76.9,13.84,"54,447 ",
20241017 ,20,0.0148,0.0307,0.63,0.0034,19,0,1.7,50,70.4,14.7,"54,873 ",
20241018 ,11,0.0111,0.0239,0.51,0.003,17.4,47.1,2.5,50,86.1,1.54,"54,052 ",
20241019 ,3,0.0279,0.0099,0.33,0.0026,16.6,1,3.3,50,75,8.19,"50,359 ",
20241020 ,4,0.0294,0.0094,0.28,0.0022,13.4,0,3.7,70,56,17.47,"46,135 ",
20241021 ,5,0.0147,0.0217,0.43,0.0025,14.8,0,2.3,50,66.4,8.92,"52,566 ",
20241022 ,6,0.0067,0.0244,0.53,0.0029,15.5,20.6,2,50,90.8,1.27,"52,645 ",
20241023 ,7,0.0302,0.0108,0.37,0.0025,12.7,2.3,3.7,250,75.3,9.76,"52,445 ",
20241024 ,12,0.0229,0.0172,0.46,0.0025,12.5,0,1.8,20,71.4,16.03,"53,016 ",
20241025 ,13,0.0091,0.0284,0.63,0.0031,14.9,0,1.7,20,64.1,14.88,"55,683 ",
20241026 ,12,0.0117,0.0265,0.59,0.0033,17,0,1.8,20,68.3,16.04,"7,214 ",
20241027 ,15,0.0216,0.0164,0.44,0.003,16,0,1.6,270,79.4,5.27,"38,202 ",
20241028 ,17,0.0173,0.0181,0.52,0.0027,15.7,0,2.1,50,75.9,8.92,"52,759 ",
20241029 ,6,0.0179,0.0204,0.44,0.0026,15,0,2.3,50,64.6,6.22,"53,988 ",
20241030 ,14,0.0217,0.0213,0.5,0.0029,15.7,0,1.6,320,71.3,14.75,"54,588 ",
20241031 ,16,0.0109,0.0267,0.59,0.003,15.9,0,1.4,20,67.8,14.38,"55,198 ",
20241101 ,,0.0072,0.037,0.71,0.0033,15.3,0,1.4,50,70.8,5.83,"53,905 ",
20241102 ,,0.0223,0.022,0.52,0.0033,18.1,0,1.9,50,58.9,14.31,"50,263 ",
20241103 ,15,0.0334,0.0144,0.42,0.0028,17.6,0,2.4,50,71.1,13.13,"45,860 ",
20241104 ,11,0.0415,0.009,0.34,0.0025,14.8,0.1,2.9,320,62,11.74,"52,524 ",
20241105 ,8,0.026,0.0111,0.34,0.0026,9.1,0,2.1,270,49.8,13.47,"53,779 ",
20241106 ,11,0.0245,0.0128,0.38,0.0029,7.5,0,2.5,270,46.1,14.98,"54,753 ",
20241107 ,19,0.0152,0.0271,0.52,0.0029,7.8,0,1.5,20,48.1,14.42,"55,105 ",
20241108 ,17,0.0133,0.0331,0.6,0.003,10.2,0,1.5,50,50.8,13.87,"54,528 ",
20241109 ,18,0.0113,0.0351,0.63,0.0032,12.9,0,1.4,20,55.8,13.18,"47,376 ",
20241110 ,14,0.0208,0.0244,0.51,0.003,14.4,0,1.8,50,64,11.42,"7,842 ",
20241111 ,24,0.0253,0.0267,0.61,0.0032,14.6,0,1.2,270,64.5,12.95,"51,781 ",
20241112 ,19,0.0296,0.0175,0.47,0.0029,14.3,0,2.2,270,66.8,13.02,"54,127 ",
20241113 ,19,0.0146,0.0307,0.63,0.0031,14.2,0,1.7,20,62.9,12.26,"53,968 ",
20241114 ,14,0.0077,0.0343,0.63,0.0032,14.8,0.1,1.8,50,68.4,3.57,"53,980 ",
20241115 ,14,0.0107,0.0317,0.62,0.0034,17,0,1.8,110,65.1,9.84,"55,177 ",
20241116 ,12,0.0198,0.0226,0.5,0.0032,17,6.5,2.6,250,72.5,,"41,734 ",
20241117 ,9,0.0288,0.0071,0.31,0.0026,7,0,3.6,290,47.6,8.47,"44,844 ",
20241118 ,6,0.0239,0.0114,0.31,0.0026,2.8,0,2.3,320,30.9,13.68,"53,224 ",
20241119 ,10,0.0102,0.0295,0.47,0.0028,5.7,0,2,50,49.5,9.9,"53,678 ",
20241120 ,19,0.0035,0.037,0.65,0.0033,6.5,0,1.3,50,65.8,3.75,"53,828 ",
20241121 ,30,0.0151,0.0297,0.71,0.0035,9.7,0,2.2,50,71.9,6.57,"54,637 ",
20241122 ,16,0.0262,0.0122,0.41,0.003,6.2,0,2.2,270,48,12.57,"54,684 ",
20241123 ,10,0.0127,0.0231,0.46,0.0032,6.4,0,1.7,50,47.1,11.87,"43,418 ",
20241124 ,8,0.0139,0.0221,0.45,0.0029,7.4,0,1.6,70,58.4,11.89,"44,895 ",
20241125 ,10,0.0127,0.0274,0.55,0.0031,10.1,0,2.5,70,57.6,9.9,"52,433 ",
20241126 ,5,0.0234,0.0127,0.34,0.0025,5.8,26,3.4,270,86.4,4.35,"52,915 ",
20241127 ,5,0.0224,0.0137,0.32,0.0022,-0.4,22.4,1.4,250,90.6,0.82,"47,119 ",
20241128 ,10,0.0226,0.0149,0.39,0.0023,0.8,4.9,1.8,250,82,8.16,"47,082 ",
20241129 ,13,0.0126,0.0232,0.45,0.0024,0.2,0,1.5,290,76.3,8.35,"54,292 ",
20241130 ,13,0.0062,0.0299,0.64,0.0028,2.5,0,1.8,50,81.6,4.74,"41,535 ",
20241201 ,16,0.0069,0.0255,0.67,0.0028,5.2,0.5,2.4,50,89.3,7.01,"42,728 ",
20241202 ,23,0.0162,0.0246,0.75,0.0032,6.4,0,2.2,50,79.9,5.09,"51,355 ",
20241203 ,6,0.0264,0.0119,0.31,0.0026,1.3,0,2.4,270,48.6,11.61,"54,167 ",
20241204 ,8,0.0244,0.0154,0.37,0.0026,3.1,0,2.1,250,52.1,11.12,"51,881 ",
20241205 ,7,0.0218,0.018,0.41,0.0025,3.9,1.8,2.3,250,62.8,9.89,"54,268 ",
20241206 ,7,0.0285,0.0104,0.33,0.0025,2.1,0,2.5,320,49.3,11.69,"50,859 ",
20241207 ,9,0.0258,0.0114,0.37,0.0024,0.2,0,2.5,270,56.9,10.86,"44,869 ",
20241208 ,9,0.029,0.008,0.34,0.0023,-0.2,0,2.2,270,46.5,11.62,"2,462 ",
20241209 ,13,0.01,0.0284,0.56,0.0027,1,0,1.6,270,56.1,10.61,"35,661 ",
20241210 ,19,0.0158,0.0273,0.66,0.0029,2.6,0,1.9,290,58.9,10.52,"52,575 ",
20241211 ,29,0.0166,0.0248,0.73,0.0035,3,0,1.6,270,50.3,8.65,"52,199 ",
20241212 ,20,0.0149,0.0214,0.52,0.0032,0.5,0,2.1,270,45.8,10.06,"53,514 ",
20241213 ,13,0.0229,0.0179,0.4,0.0029,1,0,2.2,270,42.1,7.14,"54,401 ",
20241214 ,12,0.0236,0.0158,0.41,0.0026,-0.8,0,2.2,270,51,11.11,"46,001 ",
20241215 ,7,0.027,0.015,0.33,0.0026,1.2,0,2.4,250,54.1,8.76,"39,798 ",
20241216 ,12,0.0089,0.0323,0.48,0.0027,-0.2,0,1.2,270,65.9,5.61,"46,655 ",
20241217 ,12,0.0181,0.0201,0.41,0.0027,-0.8,0,2.2,270,51.8,8.26,"52,934 ",
20241218 ,13,0.0206,0.0139,0.41,0.0031,-3.4,0,2.2,270,47.1,11.38,"53,860 ",
20241219 ,23,0.0075,0.0346,0.63,0.0035,-1.4,0,1.5,270,47.4,10.53,"53,997 ",
20241220 ,32,0.0029,0.0489,0.86,0.004,1.4,0.4,2,50,60.9,4.9,"53,864 ",
20241221 ,33,0.0196,0.0208,0.57,0.0028,-0.7,2.9,2.8,270,74.1,4.03,"29,911 ",
20241222 ,8,0.0278,0.0122,0.32,0.0025,-3.4,0,2.1,290,52.9,11.47,"42,854 ",
20241223 ,13,0.0153,0.0313,0.58,0.0029,0.3,0,2.2,50,58.5,10.29,"51,799 ",
20241224 ,15,0.0177,0.0283,0.49,0.003,-0.4,0,1.4,270,50.3,11.06,"25,140 ",
20241225 ,18,0.0125,0.0376,0.65,0.0033,2.7,0.1,2,50,63.1,6.46,"44,277 ",
20241226 ,29,0.0253,0.0149,0.47,0.0028,0.1,0,3.4,270,57.9,11.1,"51,889 ",
20241227 ,14,0.0271,0.0142,0.35,0.0025,-2.6,0,2.7,270,51.4,9.29,"52,839 ",
20241228 ,13,0.0271,0.0115,0.34,0.0025,-3,0,2.5,270,48.3,11.01,"18,932 ",
20241229 ,13,0.0146,0.029,0.5,0.0026,1.1,0,1.5,270,56.1,9.49,"39,396 ",
20241230 ,32,0.0153,0.0373,0.68,0.0028,5.5,0,2.3,50,68.5,6.29,"50,453 ",
20241231 ,18,0.026,0.0161,0.4,0.0028,0.6,0,2.6,270,45.8,11.57,"52,768 ",
20250101 ,19,0.018,0.0295,0.55,0.0028,2.6,0,2.2,250,64.3,8.55,"35,973 ",
20250102 ,17,0.0199,0.0244,0.49,0.0028,0.5,0,2.1,270,48.8,11.03,"46,134 ",
20250103 ,12,0.0249,0.017,0.39,0.0027,-1.1,0,2.2,270,52,9.9,"49,668 ",
20250104 ,18,0.0167,0.0294,0.5,0.0027,-0.1,0,1.7,50,49.6,11.03,"19,281 ",
20250105 ,24,0.0067,0.0371,0.61,0.0024,1.2,6.7,2.5,50,85,1.03,"30,011 ",
20250106 ,40,0.0266,0.0196,0.57,0.0023,1,3,2.8,290,75.6,6.09,"47,924 ",
20250107 ,13,0.0273,0.0139,0.36,0.0024,-2.6,0.1,2.7,270,53.5,10.13,"50,407 ",
20250108 ,14,0.0202,0.0181,0.38,0.0024,-3.4,0,2.7,270,55.1,8.02,"41,197 ",
20250109 ,9,0.0295,0.0068,0.28,0.0019,-9.7,0,4.2,270,38.4,12.36,"51,513 ",
20250110 ,13,0.0188,0.0205,0.39,0.0022,-7.3,0,1.6,320,48,12.17,"53,914 ",
20250111 ,20,0.0124,0.0328,0.52,0.0022,-5.1,0,1.7,270,57.4,11.74,"20,357 ",
20250112 ,28,0.0121,0.0345,0.61,0.0023,-3.4,0,1.8,20,59.9,9.9,"39,223 ",
20250113 ,39,0.0059,0.0443,0.83,0.0028,-0.4,1.3,1.7,50,76.9,6.1,"48,674 ",
20250114 ,40,0.0142,0.032,0.73,0.0029,2.3,0.1,2.3,270,72,6.69,"47,554 ",
20250115 ,11,0.0246,0.0119,0.34,0.0025,-3.5,0,2.9,270,40.8,12.74,"26,442 ",
20250116 ,17,0.0117,0.029,0.5,0.0025,-0.5,0,2,50,65.1,2.91,"24,633 ",
20250117 ,31,0.0097,0.0345,0.64,0.0028,-0.5,0,1.8,270,62.4,11.84,"27,295 ",
20250118 ,26,0.0064,0.048,0.75,0.003,1,0,1.6,50,54.1,10.75,"30,440 ",
20250119 ,32,0.0102,0.0436,0.7,0.003,3.8,0,1.8,50,65,7.93,"22,405 ",
20250120 ,73,0.0133,0.043,0.88,0.0034,3.9,0,1.7,50,73.1,7.55,"49,785 ",
20250121 ,95,0.0039,0.0578,1.13,0.0043,2.4,0,1.6,20,79.8,8.9,"37,609 ",
20250122 ,61,0.0163,0.0387,0.8,0.0035,3.6,0,1.9,250,70.3,9.42,"47,027 ",
20250123 ,32,0.0131,0.0385,0.68,0.0031,2,0,1.6,270,54.3,13.06,"39,653 ",
20250124 ,24,0.0103,0.0392,0.66,0.003,3.1,0,1.5,20,45.9,12.68,"48,818 ",
20250125 ,11,0.02,0.0273,0.48,0.0027,5.2,0,3.1,50,52.8,11.67,"36,665 ",
20250126 ,6,0.0279,0.0188,0.36,0.0023,4.6,0,2.8,50,50.5,6.98,"39,927 ",
20250127 ,16,0.0308,0.0116,0.34,0.002,0.2,5.6,3.5,270,77.9,4.89,"34,180 ",
20250128 ,20,0.0353,0.0074,0.38,0.002,-3.9,0.1,4,270,71.3,5.74,"29,494 ",
20250129 ,19,0.0355,0.0076,0.33,0.0021,-4.6,0.2,3.1,270,66.1,12.35,"37,044 ",
20250130 ,13,0.0298,0.0152,0.35,0.0022,-3.8,0,1.6,250,46.6,8.01,"32,621 ",
20250131 ,22,0.0075,0.0391,0.58,0.0022,-0.8,2.4,2.1,50,80.1,1.83,"42,629 ",
20250201 ,32,0.0102,0.0355,0.65,0.0024,1.6,0,1.6,50,74.3,11.15,"17,602 ",
20250202 ,24,0.0211,0.0253,0.56,0.0025,1.5,0,2,250,67.1,12.04,"36,405 ",
20250203 ,16,0.0387,0.0089,0.39,0.0023,-4.1,0,4.2,270,48.8,15.08,"47,938 ",
20250204 ,10,0.033,0.0089,0.32,0.002,-9,0,3.7,270,50.8,15.63,"39,153 ",
20250205 ,9,0.0335,0.0095,0.33,0.0021,-8.6,0,3.2,270,49.1,12.04,"49,027 ",
20250206 ,12,0.0203,0.0253,0.43,0.0024,-5.6,2.3,1.7,180,59.9,11.43,"24,239 ",
20250207 ,11,0.033,0.0112,0.35,0.0021,-8,0.4,3.9,290,60.1,14.93,"46,074 ",
20250208 ,10,0.033,0.0108,0.34,0.002,-7.9,0,2.8,270,54.5,16.12,"17,674 ",
20250209 ,13,0.027,0.0193,0.44,0.0021,-4.7,0,2.2,250,63.8,15.96,"11,223 ",
20250210 ,16,0.0207,0.0266,0.51,0.0023,-2.6,0,2.1,270,61,13.55,"47,259 ",
20250211 ,33,0.0103,0.0454,0.76,0.0027,0.5,0,2,50,59.8,14.77,"37,802 ",
20250212 ,31,0.014,0.041,0.66,0.0025,0.5,2.5,2.6,270,75.8,1.28,"44,614 ",
20250213 ,11,0.0215,0.0248,0.42,0.0025,0.2,0,2.2,250,53.1,16.5,"35,940 ",
20250214 ,34,0.0122,0.0432,0.72,0.0031,3.7,0,1.9,20,67.4,14.75,"48,804 ",
20250215 ,43,0.0155,0.0372,0.66,0.0027,4.1,0,1.6,50,76.5,7.95,"30,099 ",
20250216 ,48,0.0259,0.0275,0.63,0.0026,4.3,0,2.5,20,75.6,9.32,"39,535 ",
20250217 ,10,0.0335,0.0124,0.32,0.0025,-0.3,0,3.6,270,39.1,17.57,"46,292 ",
20250218 ,11,0.0316,0.012,0.33,0.0025,-2.3,0,3.4,270,40.3,17.73,"41,823 ",
20250219 ,11,0.0307,0.012,0.35,0.0024,-3,0,3,290,44.8,17.9,"49,750 ",
20250220 ,13,0.0296,0.0152,0.4,0.0024,-2.9,0,2.7,290,43.3,18.07,"39,982 ",
20250221 ,16,0.0314,0.0145,0.41,0.0023,-2.5,0,2.7,270,45.3,17.73,"26,164 ",
20250222 ,18,0.0329,0.0144,0.39,0.0023,-2.3,0,2.7,250,49.1,18.11,"18,986 ",
20250223 ,16,0.0355,0.0102,0.36,0.0022,-3.6,0,3,270,45.4,18.35,"40,629 ",
20250224 ,15,0.0289,0.0194,0.43,0.0025,-1.3,0,2.3,290,49.8,18.74,"48,056 ",
20250225 ,17,0.0221,0.0315,0.51,0.0025,2.1,0,2.9,230,72.6,11.46,"38,300 ",
20250226 ,31,0.0287,0.0242,0.49,0.0026,3.7,0,2.6,270,49.4,18.43,"49,794 ",
20250227 ,14,0.0175,0.0396,0.61,0.0033,5.8,0,1.9,20,29.4,18.29,"50,402 ",
20250228 ,31,0.0131,0.0501,0.83,0.0034,7.8,0,1.5,20,52.4,10.43,"51,850 ",
20250301 ,49,0.0102,0.0445,0.82,0.003,8.5,0.6,2,50,68.5,7.53,"13,673 ",
20250302 ,32,0.0265,0.0264,0.55,0.0027,8.3,11.8,3.7,70,68,5.25,"38,420 ",
20250303 ,5,0.0403,0.0114,0.27,0.0021,3.1,10.4,6.3,70,63.5,16.28,"20,997 ",
20250304 ,4,0.0335,0.0181,0.32,0.002,2.5,4,4.5,50,68.3,5.68,"46,686 ",
20250305 ,4,0.0304,0.0185,0.34,0.0021,4.8,0,2.2,50,63.3,9.18,"47,066 ",
20250306 ,26,0.0305,0.0214,0.52,0.0027,4.8,0,2.3,270,55.1,19.3,"48,059 ",
20250307 ,47,0.032,0.0331,0.63,0.0032,5.3,0,1.8,50,49.3,15.35,"48,194 ",
20250308 ,37,0.0348,0.0262,0.49,0.0029,5.8,0,2.2,270,55,17.83,"5,984 ",
20250309 ,36,0.0302,0.0241,0.49,0.0024,6.9,0,1.7,270,67.3,19.37,"37,663 ",
20250310 ,52,0.0279,0.0309,0.61,0.0027,8,0,2.1,50,59.8,19.27,"42,632 ",
20250311 ,44,0.0299,0.0339,0.57,0.0027,9.4,0,1.8,270,58,19.89,"40,851 ",
20250312 ,27,0.0295,0.0287,0.48,0.0027,8.5,0,2.1,270,72.3,5.68,"43,363 ",
20250313 ,24,0.0245,0.0234,0.49,0.0028,8.9,0,2.4,270,54.6,18.93,"43,912 ",
20250314 ,18,0.0218,0.0308,0.54,0.0029,12.4,0,1.8,70,31.4,20.11,"42,221 ",
20250315 ,12,0.0358,0.0173,0.36,0.0025,12.6,0,2.8,70,39.1,16.89,"15,826 ",
20250316 ,19,0.0397,0.0088,0.31,0.0022,4.9,0.8,3.6,270,56.3,9.76,"36,013 ",
20250317 ,21,0.0388,0.0146,0.36,0.0025,2.5,0.4,2.9,270,46,19.33,"39,061 ",
20250318 ,21,0.0402,0.0144,0.36,0.002,2.1,9.9,2.8,320,70.6,10.7,"39,748 ",
20250319 ,31,0.0407,0.017,0.39,0.0023,2.4,0,2.4,270,49.5,22.71,"40,657 ",
20250320 ,37,0.0409,0.026,0.51,0.0029,8.2,0,2.7,230,62.8,18.04,"37,996 ",
20250321 ,49,0.0474,0.0253,0.56,0.0032,11.6,0,2.9,250,61.3,20.44,"39,515 ",
20250322 ,47,0.0373,0.0268,0.6,0.0036,12.8,0,2.7,200,53.8,21.44,"23,254 ",
20250323 ,48,0.0446,0.0248,0.57,0.0035,15.2,0,1.9,70,49,19.96,"23,637 ",
20250324 ,47,0.0459,0.0264,0.58,0.0036,15.5,0,3,250,56.1,18.71,"37,369 ",
20250325 ,58,0.0467,0.0215,0.57,0.003,12.7,0,3.3,200,63.5,13.63,"38,512 ",
20250326 ,19,0.0237,0.0368,0.66,0.0031,15.5,0,2.2,50,46.4,20.83,"38,684 ",
20250327 ,24,0.0425,0.0154,0.41,0.0027,13.7,0.3,3.2,290,65.1,8.16,"17,977 ",
20250328 ,18,0.0374,0.0097,0.35,0.0024,6.5,0,3.7,290,41.6,21.46,"37,908 ",
20250329 ,10,0.0383,0.0118,0.29,0.0023,3.3,0,3.6,290,40.8,15.68,"15,027 ",
20250330 ,9,0.042,0.0118,0.28,0.0022,3.3,0,2.8,250,51.1,14.39,"35,584 ",
20250331 ,16,0.0361,0.0252,0.41,0.0024,7.7,0,2.2,250,50.5,23.15,"36,946 ",
20250401 ,35,0.0409,0.0305,0.52,0.0028,10.1,0,1.8,20,53,22.77,"23,688 ",
20250402 ,31,0.0374,0.0361,0.51,0.0028,8.9,0,2.4,250,55.4,12.07,0 ,
20250403 ,27,0.0403,0.0259,0.44,0.0023,9.8,0,2.4,50,58.6,23.81,0 ,
20250404 ,29,0.041,0.0292,0.43,0.0027,10.6,0,2.2,250,54.5,23.53,"12,856 ",
20250405 ,17,0.0344,0.0232,0.45,0.0023,8,22.8,1.9,50,86.1,2.17,"33,611 ",
20250406 ,16,0.046,0.0144,0.37,0.0024,10.3,0,2.8,230,67.3,22.7,"2,356 ",
20250407 ,25,0.0507,0.0225,0.48,0.003,13.5,0,2.7,200,54.5,23.67,"37,278 ",
20250408 ,26,0.0566,0.0189,0.44,0.0025,13.8,0,3.1,270,55,23.34,"47,914 ",
20250409 ,24,0.0309,0.0328,0.54,0.0029,12.7,0.8,2,200,51.6,12.49,"49,230 ",
20250410 ,32,0.041,0.0193,0.5,0.0027,13.2,0,2.2,270,60.6,22.16,"50,111 ",
20250411 ,36,0.033,0.0307,0.6,0.003,16.2,0,2,270,51.8,25.16,"49,318 ",
20250412 ,23,0.0339,0.0258,0.5,0.0029,12.9,15.4,3.1,250,66.5,8.09,"37,606 ",
20250413 ,8,0.0372,0.0097,0.29,0.002,5.5,4.2,4.2,200,71.1,12.47,"39,092 ",
20250414 ,8,0.0296,0.0193,0.39,0.0021,4.4,7.4,2.5,50,87.4,5.6,"46,247 ",
20250415 ,14,0.0335,0.0165,0.41,0.0023,8.2,0,2.7,250,70.3,26.94,"48,921 ",
20250416 ,24,0.0428,0.0243,0.5,0.0028,14.6,0,2.5,70,58,22.26,"50,626 ",
20250417 ,23,0.0525,0.0235,0.47,0.003,19.7,0,2.6,180,63.5,15,"52,165 ",
20250418 ,30,0.0467,0.0256,0.52,0.0029,18.6,0,2.4,270,67.9,15.19,"52,261 ",
20250419 ,20,0.0276,0.0156,0.38,0.0025,15.3,9.2,3,250,89.1,2.93,"35,321 ",
20250420 ,12,0.0343,0.0139,0.43,0.0023,16.7,0,1.7,270,70,26.74,"40,336 ",
20250421 ,14,0.0258,0.0234,0.5,0.0027,20.7,0,2.2,70,65.3,22.78,"48,779 ",
20250422 ,9,0.0178,0.0177,0.44,0.0028,17.8,34.8,1.5,320,87.8,3.12,"37,954 ",
20250423 ,5,0.0387,0.0173,0.41,0.0027,16.8,0,2.5,50,62.4,26.28,"46,606 ",
20250424 ,23,0.0427,0.0191,0.43,0.0031,14.7,0,3.1,250,52.4,27.27,"52,318 ",
20250425 ,23,0.0386,0.0137,0.36,0.0029,12.5,0,3,270,38.4,27.87,"52,350 ",
20250426 ,10,0.0392,0.0181,0.35,0.0031,13.8,0,2.8,200,53.1,27.29,"48,081 ",
20250427 ,7,0.0436,0.0158,0.36,0.0029,14.9,0,2.8,250,46.4,18.58,"45,080 ",
20250428 ,11,0.0435,0.0156,0.34,0.0027,15.1,0,2.7,270,45.6,27.28,"48,983 ",
20250429 ,21,0.0356,0.0225,0.41,0.0028,14.8,0,2.3,270,34.1,28.09,"50,507 ",
20250430 ,17,0.0388,0.0284,0.52,0.0032,18.4,0,2.6,50,36.3,27.73,"52,389 ",
20250501 ,13,0.0395,0.0204,0.42,0.0027,14.7,21.1,2.2,230,69.6,2.15,"39,102 ",
20250502 ,8,0.0406,0.0128,0.35,0.0022,13.4,0,3.1,250,59.3,24.67,"49,105 ",
20250503 ,6,0.0374,0.0145,0.33,0.0021,11.2,7.3,2.3,270,80.5,7.6,"45,447 ",
20250504 ,9,0.042,0.0158,0.38,0.0026,13.7,0,2.8,250,60.9,28.63,"40,414 ",
20250505 ,9,0.0344,0.0183,0.41,0.0024,12.1,0,2.3,50,64.5,7.03,"39,896 ",
20250506 ,6,0.0355,0.0148,0.36,0.0023,14.4,0,2.2,270,57.5,20,"40,574 ",
20250507 ,11,0.0383,0.0178,0.38,0.0027,14.9,0,2.2,250,61.5,27.9,"34,192 ",
20250508 ,14,0.0333,0.0221,0.45,0.0026,17.4,0,1.8,270,53.5,26.79,"52,065 ",
20250509 ,12,0.0267,0.0239,0.43,0.0025,15.1,17.6,3,50,81.8,4.38,"49,345 ",
20250510 ,10,0.0351,0.0166,0.44,0.0022,12.3,14.1,3.5,200,95.5,2.15,"36,491 ",
20250511 ,27,0.0486,0.0162,0.52,0.0025,14.7,0,1.9,270,76.9,16.46,"41,373 ",
20250512 ,26,0.0448,0.0225,0.49,0.0029,17,0,2.1,230,62.6,28.93,"48,994 ",
20250513 ,22,0.0432,0.0283,0.53,0.0031,19.9,0,2.7,230,47.4,24.02,"50,730 ",
20250514 ,21,0.0469,0.0255,0.5,0.003,21,0,2.4,230,52.8,26.31,"51,289 ",
